field_1,field_2,field_3,field_4,dtime
261.96324,82.6782,32.5258,"0",9/19/1988 00:07:03 (W. Europe Daylight Time)
261.99477,82.6793,32.5375,"0",9/19/1988 00:52:28 (W. Europe Daylight Time)
262.00208,82.6797,32.5403,"2",9/19/1988 01:02:59 (W. Europe Daylight Time)
262.00348,82.6798,32.536,"3",9/19/1988 01:05:00 (W. Europe Daylight Time)
262.01736,82.6792,32.5475,"2",9/19/1988 01:24:59 (W. Europe Daylight Time)
262.01808,82.6792,32.5453,"3",9/19/1988 01:26:02 (W. Europe Daylight Time)
262.04723,82.6785,32.5712,"3",9/19/1988 02:08:00 (W. Europe Daylight Time)
262.07569,82.68,32.5835,"2",9/19/1988 02:48:59 (W. Europe Daylight Time)
262.07641,82.68,32.5793,"3",9/19/1988 02:50:01 (W. Europe Daylight Time)
262.09306,82.6793,32.5847,"2",9/19/1988 03:14:00 (W. Europe Daylight Time)
262.09515,82.6798,32.5835,"3",9/19/1988 03:17:00 (W. Europe Daylight Time)
262.12153,82.6802,32.5967,"2",9/19/1988 03:55:00 (W. Europe Daylight Time)
262.1264,82.6793,32.5992,"3",9/19/1988 04:02:00 (W. Europe Daylight Time)
262.13333,82.6813,32.5888,"2",9/19/1988 04:11:59 (W. Europe Daylight Time)
262.13475,82.6797,32.5958,"3",9/19/1988 04:14:02 (W. Europe Daylight Time)
262.15,82.68,32.6057,"2",9/19/1988 04:35:59 (W. Europe Daylight Time)
262.1535,82.6798,32.602,"3",9/19/1988 04:41:02 (W. Europe Daylight Time)
262.18475,82.6805,32.6103,"3",9/19/1988 05:26:02 (W. Europe Daylight Time)
262.18542,82.6807,32.6167,"2",9/19/1988 05:27:00 (W. Europe Daylight Time)
262.19861,82.6812,32.6127,"0",9/19/1988 05:45:59 (W. Europe Daylight Time)
262.19933,82.6803,32.609,"3",9/19/1988 05:47:02 (W. Europe Daylight Time)
262.20764,82.6812,32.6152,"2",9/19/1988 05:59:00 (W. Europe Daylight Time)
262.21183,82.6812,32.615,"3",9/19/1988 06:05:02 (W. Europe Daylight Time)
262.21528,82.6815,32.6148,"0",9/19/1988 06:10:00 (W. Europe Daylight Time)
262.22431,82.6817,32.6172,"2",9/19/1988 06:23:00 (W. Europe Daylight Time)
262.22432,82.6815,32.6128,"3",9/19/1988 06:23:01 (W. Europe Daylight Time)
262.25208,82.6827,32.6198,"2",9/19/1988 07:02:59 (W. Europe Daylight Time)
262.2535,82.6823,32.6157,"3",9/19/1988 07:05:02 (W. Europe Daylight Time)
262.25975,82.6833,32.6303,"3",9/19/1988 07:14:02 (W. Europe Daylight Time)
262.27153,82.6842,32.634,"2",9/19/1988 07:31:00 (W. Europe Daylight Time)
262.27433,82.684,32.63,"3",9/19/1988 07:35:02 (W. Europe Daylight Time)
262.27508,82.6843,32.637,"0",9/19/1988 07:36:06 (W. Europe Daylight Time)
262.28542,82.6847,32.6405,"2",9/19/1988 07:51:00 (W. Europe Daylight Time)
262.2889,82.6845,32.6365,"3",9/19/1988 07:56:00 (W. Europe Daylight Time)
262.32015,82.6853,32.6672,"3",9/19/1988 08:41:00 (W. Europe Daylight Time)
262.33891,82.686,32.6548,"3",9/19/1988 09:08:01 (W. Europe Daylight Time)
262.34933,82.6877,32.6573,"3",9/19/1988 09:23:02 (W. Europe Daylight Time)
262.35975,82.688,32.6622,"3",9/19/1988 09:38:02 (W. Europe Daylight Time)
262.40141,82.6885,32.692,"3",9/19/1988 10:38:01 (W. Europe Daylight Time)
262.40348,82.6892,32.6832,"3",9/19/1988 10:41:00 (W. Europe Daylight Time)
262.41598,82.69,32.693,"3",9/19/1988 10:59:00 (W. Europe Daylight Time)
262.45141,82.6908,32.727,"3",9/19/1988 11:50:01 (W. Europe Daylight Time)
262.45417,82.6927,32.7273,"2",9/19/1988 11:54:00 (W. Europe Daylight Time)
262.49097,82.693,32.7345,"2",9/19/1988 12:46:59 (W. Europe Daylight Time)
262.49725,82.6925,32.7307,"3",9/19/1988 12:56:02 (W. Europe Daylight Time)
262.52153,82.6933,32.7583,"2",9/19/1988 13:31:00 (W. Europe Daylight Time)
262.52433,82.6923,32.7583,"3",9/19/1988 13:35:02 (W. Europe Daylight Time)
262.56875,82.6928,32.7853,"2",9/19/1988 14:39:00 (W. Europe Daylight Time)
262.58681,82.6928,32.7965,"2",9/19/1988 15:05:00 (W. Europe Daylight Time)
262.58891,82.6927,32.7925,"3",9/19/1988 15:08:01 (W. Europe Daylight Time)
262.59792,82.6935,32.7875,"2",9/19/1988 15:21:00 (W. Europe Daylight Time)
262.59933,82.6925,32.7825,"3",9/19/1988 15:23:02 (W. Europe Daylight Time)
262.62014,82.6927,32.7943,"2",9/19/1988 15:53:00 (W. Europe Daylight Time)
262.62016,82.6918,32.7892,"3",9/19/1988 15:53:01 (W. Europe Daylight Time)
262.63579,82.6915,32.8053,"0",9/19/1988 16:15:32 (W. Europe Daylight Time)
262.64514,82.6913,32.8095,"2",9/19/1988 16:29:00 (W. Europe Daylight Time)
262.64515,82.6917,32.8055,"3",9/19/1988 16:29:00 (W. Europe Daylight Time)
262.65376,82.6913,32.8033,"0",9/19/1988 16:41:24 (W. Europe Daylight Time)
262.66181,82.6912,32.8058,"2",9/19/1988 16:53:00 (W. Europe Daylight Time)
262.66182,82.6913,32.8027,"3",9/19/1988 16:53:01 (W. Europe Daylight Time)
262.67292,82.6923,32.8083,"2",9/19/1988 17:09:00 (W. Europe Daylight Time)
262.67433,82.6918,32.803,"3",9/19/1988 17:11:02 (W. Europe Daylight Time)
262.68513,82.6922,32.8027,"0",9/19/1988 17:26:35 (W. Europe Daylight Time)
262.69514,82.6922,32.8047,"2",9/19/1988 17:41:00 (W. Europe Daylight Time)
262.69515,82.6915,32.7992,"3",9/19/1988 17:41:00 (W. Europe Daylight Time)
262.70625,82.6907,32.8108,"2",9/19/1988 17:57:00 (W. Europe Daylight Time)
262.71182,82.6912,32.8077,"3",9/19/1988 18:05:01 (W. Europe Daylight Time)
262.72876,82.6917,32.8058,"0",9/19/1988 18:29:24 (W. Europe Daylight Time)
262.73681,82.6917,32.8067,"2",9/19/1988 18:41:00 (W. Europe Daylight Time)
262.7389,82.6922,32.8067,"3",9/19/1988 18:44:00 (W. Europe Daylight Time)
262.74792,82.693,32.8082,"2",9/19/1988 18:57:00 (W. Europe Daylight Time)
262.7535,82.6925,32.804,"3",9/19/1988 19:05:02 (W. Europe Daylight Time)
262.78125,82.6948,32.8182,"2",9/19/1988 19:45:00 (W. Europe Daylight Time)
262.78266,82.6943,32.8163,"3",9/19/1988 19:47:01 (W. Europe Daylight Time)
262.81042,82.6965,32.8222,"2",9/19/1988 20:27:00 (W. Europe Daylight Time)
262.8139,82.696,32.82,"3",9/19/1988 20:32:00 (W. Europe Daylight Time)
262.84931,82.7008,32.8467,"2",9/19/1988 21:23:00 (W. Europe Daylight Time)
262.85558,82.7002,32.8515,"3",9/19/1988 21:32:02 (W. Europe Daylight Time)
262.86944,82.7018,32.8653,"2",9/19/1988 21:51:59 (W. Europe Daylight Time)
262.87015,82.7012,32.862,"3",9/19/1988 21:53:00 (W. Europe Daylight Time)
262.88603,82.7028,32.8978,"0",9/19/1988 22:15:52 (W. Europe Daylight Time)
262.88611,82.7035,32.8803,"2",9/19/1988 22:15:59 (W. Europe Daylight Time)
262.891,82.7023,32.871,"3",9/19/1988 22:23:02 (W. Europe Daylight Time)
262.9136,82.705,32.8983,"3",9/19/1988 22:55:35 (W. Europe Daylight Time)
262.91389,82.705,32.9118,"2",9/19/1988 22:56:00 (W. Europe Daylight Time)
262.925,82.7047,32.9258,"2",9/19/1988 23:12:00 (W. Europe Daylight Time)
262.92818,82.7055,32.9175,"3",9/19/1988 23:16:34 (W. Europe Daylight Time)
262.94444,82.7067,32.9413,"2",9/19/1988 23:39:59 (W. Europe Daylight Time)
262.94485,82.7065,32.9352,"3",9/19/1988 23:40:35 (W. Europe Daylight Time)
262.96667,82.7078,32.9658,"2",9/20/1988 00:12:00 (W. Europe Daylight Time)
262.96985,82.7083,32.9537,"3",9/20/1988 00:16:35 (W. Europe Daylight Time)
262.98611,82.7087,32.9837,"2",9/20/1988 00:39:59 (W. Europe Daylight Time)
262.9886,82.7092,32.9722,"3",9/20/1988 00:43:35 (W. Europe Daylight Time)
263,82.7077,32.9945,"2",9/20/1988 01:00:00 (W. Europe Daylight Time)
263.0011,82.7085,32.9907,"3",9/20/1988 01:01:35 (W. Europe Daylight Time)
263.01528,82.7083,33.0078,"2",9/20/1988 01:22:00 (W. Europe Daylight Time)
263.01777,82.7082,33.018,"3",9/20/1988 01:25:35 (W. Europe Daylight Time)
263.03374,82.7083,33.026,"0",9/20/1988 01:48:35 (W. Europe Daylight Time)
263.04306,82.7087,33.0345,"2",9/20/1988 02:02:00 (W. Europe Daylight Time)
263.05764,82.7088,33.0428,"2",9/20/1988 02:23:00 (W. Europe Daylight Time)
263.06153,82.7095,33.0362,"3",9/20/1988 02:28:36 (W. Europe Daylight Time)
263.07569,82.7087,33.0523,"2",9/20/1988 02:48:59 (W. Europe Daylight Time)
263.09485,82.708,33.0653,"3",9/20/1988 03:16:35 (W. Europe Daylight Time)
263.10622,82.7093,33.0727,"0",9/20/1988 03:32:57 (W. Europe Daylight Time)
263.11458,82.7095,33.0788,"2",9/20/1988 03:44:59 (W. Europe Daylight Time)
263.11777,82.7083,33.0778,"3",9/20/1988 03:49:35 (W. Europe Daylight Time)
263.13125,82.7085,33.0792,"2",9/20/1988 04:09:00 (W. Europe Daylight Time)
263.13235,82.7092,33.0755,"3",9/20/1988 04:10:35 (W. Europe Daylight Time)
263.14412,82.7083,33.07,"0",9/20/1988 04:27:31 (W. Europe Daylight Time)
263.15318,82.7087,33.076,"3",9/20/1988 04:40:34 (W. Europe Daylight Time)
263.15347,82.7085,33.0737,"2",9/20/1988 04:40:59 (W. Europe Daylight Time)
263.16568,82.7085,33.0842,"3",9/20/1988 04:58:34 (W. Europe Daylight Time)
263.18088,82.7088,33.0832,"0",9/20/1988 05:20:28 (W. Europe Daylight Time)
263.20347,82.7093,33.085,"2",9/20/1988 05:52:59 (W. Europe Daylight Time)
263.20736,82.7093,33.0838,"3",9/20/1988 05:58:35 (W. Europe Daylight Time)
263.23125,82.711,33.0955,"2",9/20/1988 06:33:00 (W. Europe Daylight Time)
263.24068,82.7103,33.1,"3",9/20/1988 06:46:34 (W. Europe Daylight Time)
263.24514,82.7115,33.1052,"2",9/20/1988 06:53:00 (W. Europe Daylight Time)
263.26181,82.7115,33.0967,"2",9/20/1988 07:17:00 (W. Europe Daylight Time)
263.2636,82.7113,33.0905,"3",9/20/1988 07:19:35 (W. Europe Daylight Time)
263.30735,82.713,33.1212,"3",9/20/1988 08:22:35 (W. Europe Daylight Time)
263.31597,82.7147,33.1223,"2",9/20/1988 08:34:59 (W. Europe Daylight Time)
263.32193,82.7145,33.1378,"3",9/20/1988 08:43:34 (W. Europe Daylight Time)
263.33538,82.7168,33.1398,"0",9/20/1988 09:02:56 (W. Europe Daylight Time)
263.34199,82.7163,33.1978,"0",9/20/1988 09:12:27 (W. Europe Daylight Time)
263.34277,82.7165,33.1395,"3",9/20/1988 09:13:35 (W. Europe Daylight Time)
263.34444,82.7175,33.1442,"2",9/20/1988 09:15:59 (W. Europe Daylight Time)
263.37847,82.7202,33.1813,"2",9/20/1988 10:04:59 (W. Europe Daylight Time)
263.38027,82.7185,33.1838,"3",9/20/1988 10:07:35 (W. Europe Daylight Time)
263.39792,82.7217,33.1887,"2",9/20/1988 10:33:00 (W. Europe Daylight Time)
263.4011,82.7205,33.1835,"3",9/20/1988 10:37:35 (W. Europe Daylight Time)
263.42402,82.7208,33.2185,"3",9/20/1988 11:10:35 (W. Europe Daylight Time)
263.45417,82.7242,33.2247,"2",9/20/1988 11:54:00 (W. Europe Daylight Time)
263.4623,82.7253,33.2278,"3",9/20/1988 12:05:42 (W. Europe Daylight Time)
263.47361,82.7258,33.2365,"2",9/20/1988 12:21:59 (W. Europe Daylight Time)
263.47688,82.7247,33.2298,"3",9/20/1988 12:26:42 (W. Europe Daylight Time)
263.49772,82.725,33.2535,"3",9/20/1988 12:56:43 (W. Europe Daylight Time)
263.49861,82.7265,33.2565,"2",9/20/1988 12:57:59 (W. Europe Daylight Time)
263.52986,82.728,33.2727,"2",9/20/1988 13:42:59 (W. Europe Daylight Time)
263.53938,82.7282,33.2747,"3",9/20/1988 13:56:42 (W. Europe Daylight Time)
263.56022,82.7273,33.283,"3",9/20/1988 14:26:43 (W. Europe Daylight Time)
263.57014,82.7293,33.3008,"2",9/20/1988 14:41:00 (W. Europe Daylight Time)
263.57479,82.7285,33.2825,"3",9/20/1988 14:47:41 (W. Europe Daylight Time)
263.60066,82.7308,33.3005,"0",9/20/1988 15:24:57 (W. Europe Daylight Time)
263.61439,82.7307,33.2982,"3",9/20/1988 15:44:43 (W. Europe Daylight Time)
263.63521,82.731,33.3055,"3",9/20/1988 16:14:42 (W. Europe Daylight Time)
263.63681,82.7323,33.3068,"2",9/20/1988 16:17:00 (W. Europe Daylight Time)
263.70139,82.7352,33.3318,"2",9/20/1988 17:50:00 (W. Europe Daylight Time)
263.70187,82.7353,33.3255,"3",9/20/1988 17:50:41 (W. Europe Daylight Time)
263.71854,82.736,33.3243,"3",9/20/1988 18:14:41 (W. Europe Daylight Time)
263.77847,82.7407,33.3583,"2",9/20/1988 19:40:59 (W. Europe Daylight Time)
263.77896,82.7403,33.3538,"3",9/20/1988 19:41:42 (W. Europe Daylight Time)
263.83312,82.7422,33.3828,"3",9/20/1988 20:59:41 (W. Europe Daylight Time)
263.84477,82.7437,33.4048,"0",9/20/1988 21:16:28 (W. Europe Daylight Time)
263.85347,82.7442,33.4103,"2",9/20/1988 21:28:59 (W. Europe Daylight Time)
263.85396,82.744,33.4038,"3",9/20/1988 21:29:42 (W. Europe Daylight Time)
263.87014,82.7448,33.4145,"2",9/20/1988 21:53:00 (W. Europe Daylight Time)
263.87064,82.7445,33.4108,"3",9/20/1988 21:53:43 (W. Europe Daylight Time)
263.89788,82.7462,33.435,"0",9/20/1988 22:32:56 (W. Europe Daylight Time)
263.90625,82.7465,33.4402,"2",9/20/1988 22:45:00 (W. Europe Daylight Time)
263.90814,82.7465,33.434,"3",9/20/1988 22:47:43 (W. Europe Daylight Time)
263.91977,82.7467,33.4498,"0",9/20/1988 23:04:28 (W. Europe Daylight Time)
263.92847,82.747,33.4553,"2",9/20/1988 23:16:59 (W. Europe Daylight Time)
263.92897,82.747,33.4512,"3",9/20/1988 23:17:43 (W. Europe Daylight Time)
