fid,Volcano_Name,Last_Eruption_Year,Country,Elevation
"234",St. Andrew Strait,"1957",Papua New Guinea,"270"
"235",Central Bismarck Sea,"1972",Papua New Guinea,"-1300"
"236",Blup Blup,,Papua New Guinea,"402"
"237",Kadovar,"2023",Papua New Guinea,"365"
"238",Boisa,,Papua New Guinea,"240"
"239",Bam,"1960",Papua New Guinea,"685"
"240",Manam,"2024",Papua New Guinea,"1807"
"241",Karkar,"1979",Papua New Guinea,"1839"
"242",Hankow Reef,,Papua New Guinea,"-5"
"243",Long Island,"1993",Papua New Guinea,"1280"
"244",Umboi,,Papua New Guinea,"1335"
"245",Ritter Island,"2007",Papua New Guinea,"75"
"246",Sakar,,Papua New Guinea,"992"
"247",Langila,"2024",Papua New Guinea,"1330"
"248",Dakataua,"1895",Papua New Guinea,"408"
"249",Bola,,Papua New Guinea,"1116"
"250",Garua Harbour,,Papua New Guinea,"565"
"251",Lolo,,Papua New Guinea,"796"
"252",Krummel-Garbuna-Welcker,"2008",Papua New Guinea,"564"
"253",Witori,"2012",Papua New Guinea,"724"
"254",Sulu Range,,Papua New Guinea,"610"
"255",Hargy,"950",Papua New Guinea,"1148"
"256",Bamus,"1886",Papua New Guinea,"2248"
"257",Ulawun,"2023",Papua New Guinea,"2334"
"258",Lolobau,"1912",Papua New Guinea,"878"
"259",Rabaul,"2014",Papua New Guinea,"688"
"260",Tavui,"-4946",Papua New Guinea,"200"
"261",Hydrographers Range,,Papua New Guinea,"1915"
"262",Lamington,"1956",Papua New Guinea,"1680"
"263",Managlase Plateau,,Papua New Guinea,"1342"
"264",Victory,"1935",Papua New Guinea,"1832"
"265",Goodenough,,Papua New Guinea,"220"
"266",Sessagara Hills,"1944",Papua New Guinea,"493"
"267",Iamalele,,Papua New Guinea,"194"
"268",Dawson Strait Group,"1350",Papua New Guinea,"500"
"269",Lihir,,Papua New Guinea,"700"
"270",Ambitle,"-350",Papua New Guinea,"450"
"271",Billy Mitchell,"1580",Papua New Guinea,"1544"
"272",Balbi,,Papua New Guinea,"2715"
"273",Takuan Group,,Papua New Guinea,"2210"
"274",Bagana,"2024",Papua New Guinea,"1855"
"275",Loloru,"-1050",Papua New Guinea,"1887"
"276",Kana Keoki,,Solomon Islands,"-700"
"277",Coleman Seamount,,Solomon Islands,"-717"
"278",Simbo,"1910",Solomon Islands,"335"
"279",Unnamed,,Solomon Islands,"-240"
"280",Gallego,,Solomon Islands,"1000"
"281",Kavachi,"2014",Solomon Islands,"-20"
"282",Savo,"1847",Solomon Islands,"485"
"283",Tinakula,"2024",Solomon Islands,"796"
"284",Motlav,,Vanuatu,"411"
"285",Suretamatai,"1966",Vanuatu,"921"
"286",Gaua,"2022",Vanuatu,"729"
"287",Ambae,"2023",Vanuatu,"1496"
"288",Ambrym,"2024",Vanuatu,"1334"
"289",Lopevi,"2007",Vanuatu,"1413"
"290",East Epi,"2023",Vanuatu,"833"
"291",Kuwae,"1974",Vanuatu,"-2"
"292",Nguna-Emau,,Vanuatu,"589"
"293",Traitor's Head,"1881",Vanuatu,"817"
"294",Yasur,"2024",Vanuatu,"361"
"295",Gemini-Oscostar,"1996",Vanuatu,"-33"
"296",Matthew Island,"1956",France - claimed by Vanuatu,"177"
"297",Hunter Island,"1903",France - claimed by Vanuatu,"297"
"298",Newer Volcanics Province,"-2900",Australia,"1011"
"299",McBride Volcanic Province,"-5050",Australia,"1020"
"300",Narcondum,,India,"710"
"301",Barren Island,"2024",India,"354"
"302",Seulawah Agam,"1839",Indonesia,"1810"
"303",Peuet Sague,"2000",Indonesia,"2785"
"304","Telong, Bur ni","1937",Indonesia,"2617"
"305",Singkut,"1881",Indonesia,"2181"
"306",Sinabung,"2021",Indonesia,"2460"
"307",Toba,,Indonesia,"2157"
"308",Lubukraya,,Indonesia,"1862"
"309",Sibualbuali,,Indonesia,"1819"
"310",Malintang,,Indonesia,"1983"
"311",Sorikmarapi,"1986",Indonesia,"2145"
"312",Talakmau,,Indonesia,"2919"
"313",Marapi,"2024",Indonesia,"2885"
"314",Tandikat-Singgalang,"1924",Indonesia,"2854"
"315",Talang,"2007",Indonesia,"2575"
"316",Kerinci,"2024",Indonesia,"3800"
"317",Sumbing,"1921",Indonesia,"2507"
"318",Hululais,,Indonesia,"2122"
"319","Daun, Bukit",,Indonesia,"2467"
"320",Kaba,"2000",Indonesia,"1940"
"321",Patah,,Indonesia,"2836"
"322",Dempo,"2024",Indonesia,"3142"
