fid,Volcano_Name,Country,Elevation,Last_Eruption_Year
343,Sundoro,Indonesia,3147,1971
344,Sumbing,Indonesia,3371,1730
345,Telomoyo,Indonesia,1864,NA
346,Ungaran,Indonesia,2033,NA
347,Merbabu,Indonesia,3118,1797
348,Merapi,Indonesia,2910,2024
349,Lawu,Indonesia,3265,1885
350,Wilis,Indonesia,2563,NA
351,Kawi-Butak,Indonesia,2651,NA
352,Kelud,Indonesia,1730,2014
353,Penanggungan,Indonesia,1631,NA
354,Arjuno-Welirang,Indonesia,3343,1952
355,Semeru,Indonesia,3657,2024
356,Tengger Caldera,Indonesia,2329,2023
357,Lamongan,Indonesia,1641,1898
358,Iyang-Argapura,Indonesia,3088,NA
359,Raung,Indonesia,3260,2022
360,Baluran,Indonesia,1247,NA
361,Ijen,Indonesia,2769,1999
362,Buyan-Bratan,Indonesia,2244,NA
363,Batur,Indonesia,1711,2000
364,Agung,Indonesia,2997,2019
365,Rinjani,Indonesia,3726,2016
366,Tambora,Indonesia,2850,1967
367,Sangeang Api,Indonesia,1912,2022
368,"Sano, Wai",Indonesia,1319,NA
369,Ranakah,Indonesia,2288,1991
370,Inierie,Indonesia,2245,-8050
371,Inielika,Indonesia,1559,2001
372,Ebulobo,Indonesia,2096,1969
373,Iya,Indonesia,618,1969
374,Kelimutu,Indonesia,1639,1968
375,Paluweh,Indonesia,875,2013
376,Egon,Indonesia,1661,2008
377,Lewotobi,Indonesia,1703,2024
378,Leroboleng,Indonesia,1095,2003
379,Iliboleng,Indonesia,1659,1993
380,Lewotolok,Indonesia,1431,2024
381,Ililabalekan,Indonesia,1018,NA
382,Iliwerung,Indonesia,583,2021
383,"Tara, Batu",Indonesia,633,2015
384,Sirung,Indonesia,1347,2021
385,Wurlali,Indonesia,868,1892
386,Teon,Indonesia,728,1904
387,Nila,Indonesia,781,1968
388,Serua,Indonesia,608,1921
389,Manuk,Indonesia,257,NA
390,Banda Api,Indonesia,596,1988
391,Colo,Indonesia,404,1983
392,Ambang,Indonesia,1795,2005
393,Soputan,Indonesia,1785,2020
394,Lokon-Empung,Indonesia,1580,2015
395,Mahawu,Indonesia,1299,1977
396,Klabat,Indonesia,1968,NA
397,Tangkoko-Duasudara,Indonesia,1334,1880
398,Ruang,Indonesia,725,2024
399,Karangetang,Indonesia,1797,2023
400,Banua Wuhu,Indonesia,-5,1919
401,Awu,Indonesia,1318,2004
402,Tarakan,Indonesia,317,NA
403,Dukono,Indonesia,1273,2024
404,Tobaru,Indonesia,1035,NA
405,Ibu,Indonesia,1325,2024
406,Gamkonora,Indonesia,1635,2007
407,Jailolo,Indonesia,993,NA
408,Hiri,Indonesia,630,NA
409,Todoko-Ranu,Indonesia,979,NA
